,City,URL,club_name,State
0,Birmingham,http://www.lapidaryclub.com/,Alabama Mineral & Lapidary Society,Alabama
1,Dothan,http://www.wiregrassrockhounds.com/,Dothan Gem & Mineral Club,Alabama
2,Huntsville,http://huntsvillegms.org/,Huntsville Gem and Mineral Society,Alabama
3,Mobile,http://www.mobilerockandgem.com/,Mobile Rock & Gem Society,Alabama
4,Montgomery,http://montgomerygemandmineralsociety.com/mgms/,Montgomery Gem & Mineral Society,Alabama
5,Anchorage,http://www.chugachgemandmineralsociety.com/,Chugach Gem & Mineral Society,Alaska
6,Palmer,http://matsurockclub.com/,Mat-Su Rock and Mineral Club,Alaska
7,Apache Junction,http://www.ajrockclub.com/,Apache Junction Rock and Gem Club,Arizona
8,Black Canyon City,http://www.bccrockclub.mysite.com/,Black Canyon City Rock Club,Arizona
9,Anthem,http://www.dmrmc.com/,Daisy Mountain Rock & Mineral Club,Arizona
10,Miami,http://gilagem.org/,Gila County Gem & Mineral Society,Arizona
11,Sierra Vista,http://www.huachucamineralandgemclub.info/,Huachuca Mineral and Gem Club,Arizona
12,Lake Havasu City,http://www.lakehavasugms.org/,Lake Havasu Gem & Mineral Society,Arizona
13,Scottsdale,http://www.msaaz.org/,Mineralogical Society of Arizona,Arizona
14,Cottonwood,http://www.mingusclub.org/,Mingus Gem & Mineral Club,Arizona
15,Kingman,http://www.gemstoners.org/,Mohave County Gemstoners,Arizona
16,Tucson,http://www.lapidaryclub.org/,Old Pueblo Lapidary Club,Arizona
17,Prescott Valley,http://www.prescottgemmineral.org/,Prescott Gem & Mineral Club,Arizona
18,Quartzsite,http://www.qrgmc.org/,Quartzsite Roadrunners Gem & Mineral Club,Arizona
19,Phoenix,http://rockhounds.scwclubs.com/,Rockhounds West,Arizona
20,Sedona,http://www.sedonagemandmineral.org/,Sedona Gem & Mineral Club,Arizona
21,Bullhead City,http://scrrc.blogspot.com/,Silvery Colorado River Rock Club,Arizona
22,Pearce,https://sites.google.com/site/cochisecountyrock/,Sunsites Gem and Mineral Club,Arizona
23,Tucson,http://www.tgms.org/,Tucson Gem and Mineral Society,Arizona
24,Cottonwood,http://www.verderiverrockhounds.com/,Verde River Rockhounds,Arizona
25,Buckeye,http://www.westvalleyrockandmineralclub.com/,West Valley Rock & Mineral Club,Arizona
26,Show Low,http://whitemountain-azrockclub.org/,White Mountain Gem & Mineral Club,Arizona
27,Wickenburg,http://www.wickenburggms.org/,Wickenburg Gem and Mineral Society,Arizona
28,Little Rock,http://www.centralarrockhound.org/,"Central Arkansas Gem, Mineral and Geology Society",Arkansas
29,Siloam Springs,http://www.nwarockhounds.org/,Northwest Arkansas Gem & Mineral Society,Arkansas
30,Mountain Home,https://www.ozarkearthscience.com/,"Ozark Earth Science Gem, Mineral & Fossil Club",Arkansas
31,Sutter Creek,http://www.amadorgemandmineral.org/,Amador County Gem & Mineral Society,California
32,Anaheim,http://www.opalsociety.org/,American Opal Society,California
33,Lancaster,http://avgem.weebly.com/,Antelope Valley Gem and Mineral Club,California
34,Antioch,http://www.antiochlapidaryclub.com/,Antioch Lapidary Club,California
35,Borrego Springs,http://www.abdnha.org/bragclub.html,Borrego Rock and Gem Club,California
36,Angels Camp,http://www.calaverasgemandmineral.org/,Calaveras Gem & Mineral Society,California
37,Pacific Grove,http://www.cvgms.rocks/,Carmel Valley Gem and Mineral Society,California
38,San Luis Obispo,http://www.cctha.org/,Central Coast Treasure Hunters Association,California
39,Coalinga,https://sites.google.com/site/coalingarockhounds/,Coalinga Rockhound Society,California
40,Thousand Oaks,http://www.cgamc.org/,Conejo Gem & Mineral Club,California
41,Concord,http://www.ccmgs.org/,Contra Costa Mineral & Gem Society,California
42,Culver City,http://culvercityrocks.org/,The Culver City Rock and Mineral Club,California
43,Northridge,http://delairrockhounds.blogspot.com/,Del Air Rockhounds Club,California
44,Bellflower,https://delversgemclub.wordpress.com/,Delvers Gem & Mineral Society,California
45,El Cajon,http://www.ecvgms.org/,El Cajon Valley Gem & Mineral Society,California
46,Placerville,http://www.eldoradomineralandgem.org/,El Dorado County Mineral and Gem Society,California
47,Buena Park,http://www.fgosc.com/,Faceters Guild of Southern California,California
48,Fallbrook,http://www.fgms.org/FGMS/Home.html,"Fallbrook Gem and Mineral Society, Inc.",California
49,Oroville,http://www.featherriverrocks.org/,Feather River Lapidary & Mineral Society,California
50,Yucca Valley,http://www.firstclassminers.org/,First Class Miners,California
51,North Highlands,https://www.facebook.com/The-Fossils-for-Fun-Society-994879667246272/,"Fossils for Fun Society, Inc.",California
52,Fresno,http://fgms.us/,Fresno Gem & Mineral Society,California
53,Placerville,https://goldcountrytreasureseekers.shutterfly.com/,Gold Country Treasure Seekers,California
54,Yucca Valley,http://www.hi-desertrockhounds.org/,Hi-Desert Rockhounds of Morongo Valley,California
55,Ridgecrest,http://indianwells.weebly.com/,Indian Wells Valley Gem & Mineral Society,California
56,Bakersfield,http://kerncountymineralsociety.org/,Kern County Mineral Society,California
57,Lemoore,https://www.facebook.com/Lemoore-Gem-and-Mineral-Club-706220872829687/,Lemoore Gem and Mineral Club,California
58,Livermore,http://www.lithophiles.com/,Livermore Valley Lithophiles,California
59,Lone Pine,http://lpgms.org/,Line Pine Gem & Mieral Society,California
60,Mariposa,http://mariposagmc.org/,Mariposa Gem & Mineral Club,California
61,Hayward,http://www.mgscv.org/,Mineral & Gem Society of Castro Valley,California
62,Pasadena,http://www.mineralsocal.org/,Mineralogical Society of Southern California,California
63,Barstow,http://www.mdgms.net/,Mojave Desert Gem & Mineral Society,California
64,Monrovia,http://www.moroks.com/,Monrovia Rock Hounds Inc.,California
65,Modesto,http://www.motherlodemineralsociety.com/,Mother Lode Mineral Society,California
66,Mohave Valley,http://needlesgemmineralclub.blogspot.com/,Needles Gem & Mineral Club,California
67,Grass Valley,http://www.ncgms.org/,Nevada County Gem & Mineral Society,California
68,Orinda,http://www.ncgeolsoc.org/,Northern California Geological Society,California
69,La Habra,http://www.nocgms.com/,North Orange County Gem & Mineral Society,California
70,San Bernardino,http://obmsrocks.yolasite.com/,Orange Belt Mineralogical Society,California
71,Santa Maria,http://www.omsinc.org/,Orcutt Mineral Society,California
72,Oxnard,http://oxnardgem.com/home/,Oxnard Gem & Mineral Society,California
73,Palmdale,https://www.facebook.com/palmdalegemandmineralclub/,Palmdale Gem & Mineral Club,California
74,Escondido,http://palomargem.org/,Palomar Gem & Mineral Club,California
75,Rolling Hills Estates,http://www.palos-verdes-gem-and-mineral-society.org/,Palos Verdes Gem & Mineral Society,California
76,Paradise,http://www.paradisegem.org/,Paradise Gem & Mineral Club,California
77,Pasadena,http://www.pasadenalapidarysociety.org/,Pasadena Lapidary Society,California
78,Los Altos,http://pggs.org/,"Peninsula Gem & Geology Society, Inc.",California
79,Roseville,http://www.rockrollers.com/,Roseville Rock Rollers,California
80,Brea,http://www.route66goldminers.org/,Route 66 Gold Miners Inc,California
81,Sacramento,http://www.sacramentomineralsociety.org/,Sacramento Mineral Society,California
82,North Highlands,http://www.sacramentovalleydetectingbuffs.com/,Sacramento Valley Detecting Buffs,California
83,Salinas,https://salinasrockandgem.pagecloud.com/,Salinas Valley Rock and Gem Club,California
84,San Diego,http://www.sdmg.org/,San Diego Gem and Mineral Society,California
85,San Diego,http://sandiegolapidarysociety.org/,San Diego Lapidary Society,California
86,San Francisco,http://www.sfgms.org/,"San Francisco Gem and Mineral Society, Inc.",California
87,Bakersfield,http://sjvls.blogspot.com/,San Joaquin Valley Lapidary Society,California
88,San Luis Obispo,http://www.slogem.org/,San Luis Obispo Gem & Mineral Club,California
89,Santa Ana,http://www.sarmclub.org/,"Santa Ana Rock & Mineral Club, Inc.",California
90,San Jose,http://www.scvgms.org/,Santa Clara Valley Gem & Mineral Society,California
91,Santa Cruz,https://www.facebook.com/scmgs/,Santa Cruz Mineral and Gem Society,California
92,Paso Robles,http://www.slrockhounds.org/,Santa Lucia Rockhounds,California
93,Santa Rosa,http://www.srmgs.org/,"Santa Rosa Mineral And Gem Society, Inc.",California
94,Anaheim,https://www.searchersrocks.org/,Searchers Gem and Mineral Society,California
95,Trona,http://www1.iwvisp.com/tronagemclub/,"Searles Lake Gem and Mineral Society, Inc.",California
96,Redwood City,http://www.sequoiagemandmineralsociety.org/,Sequoia Gem and Mineral Society,California
97,Palm Springs,http://www.shadowmountaingemmineral.org/,Shadow Mountain Gem & Mineral Society,California
98,Redding,http://www.shastagemandmineral.com/,Shasta Gem & Mineral Society,California
99,Newhall,http://www.sierrapelona.com/,Sierra Pelona Rock Club,California
100,Torrance,https://southbaylapidaryandmineralsociety.com/,South Bay Lapidary & Mineral Society,California
101,San Clemente,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/,South Orange County Gem & Mineral Society,California
102,Los Angeles,http://socalpaleo.com/,Southern California Paleontological Society,California
103,Stockton,http://www.stocktonlapidary.com/,Stockton Lapidary & Mineral Club,California
104,Marysville,https://sutterbuttesgemmin.org/,Sutter Buttes Gem & Mineral Society,California
105,Tehachapi,http://www.tvgms.org/,Tehachapi Valley Gem & Mineral Society,California
106,Farmersville,http://www.tulegem.com/,Tule Gem and Mineral Society,California
107,Vallejo,http://www.vjgems.org/,Vallejo Gem & Mineral Society,California
108,San Bernardino,https://www.valleyprospectors.com/,"Valley Prospectors, Inc.",California
109,Ventura,http://vgms.org/,"Ventura Gem & Mineral Society, Inc",California
110,Victorville,http://www.vvgmc.org/,Victor Valley Gem and Mineral Club,California
111,Vista,http://www.vistarocks.org/,Vista Gem & Mineral Society,California
112,Garden Grove,http://westcoasters.org/,West Coast Prospectors & Treasure Hunters Association,California
113,Norco,http://www.wepcgold.com,West End Prospectors Corporation,California
114,Whittier,http://wgmsca.com/index.html,"Whittier Gem and Mineral Society, Inc.",California
115,San Fernando Valley,http://www.rockchippers.org/,"Woodland Hills Rock Chippers, Inc.",California
116,Yucaipa,http://www.yvgms.org/wiki/,Yucaipa Valley Gem & Mineral Society,California
117,Canon City,http://www.canoncitygeologyclub.com/,Canon City Geology Club,Colorado
118,Frisco,http://coloradogoldcamp.com/,Colorado Gold Camp,Colorado
119,Lakewood,http://www.coloradomineralsociety.org/,Colorado Mineral Society,Colorado
120,Alamosa,http://www.coloradoprospector.com/,Colorado Prospector,Colorado
121,Colorado Springs,http://www.csms1936.com/,Colorado Springs Mineral Society,Colorado
122,Salida,http://rockaholics.org/,Columbine Gem and Mineral Society,Colorado
123,Denver,http://denvergem.org/index.html,Denver Gem and Mineral Guild,Colorado
124,Boulder,http://flatironsmineralclub.org/,Flatirons Mineral Club,Colorado
125,Fort Collins,http://www.fortcollinsrockhounds.org/,Fort Collins Rockhounds,Colorado
126,Durango,http://www.durangorocks.org/,Four Corners Gem & Mineral Club,Colorado
127,Denver,http://friendsofmineralogycolorado.org/,Friends of Mineralogy - Colorado Chapter ,Colorado
128,Grand Junction,http://www.grandjunctionrockclub.org/,Grand Junction Gem & Mineral Club,Colorado
129,Lake George,http://www.lggmclub.org/,Lake George Gem & Mineral club,Colorado
130,Littleton,http://littletongemandmineralclub.com/,"Littleton Gem and Mineral Club, Inc.",Colorado
131,Arvada,http://www.milehirams.com/,Mile High Rock and Mineral Society,Colorado
132,Arvada,http://www.peaktopeak.com/njeffco/index.php,North Jeffco Gem & Mineral Club,Colorado
133,Pueblo,http://www.pueblorockhounds.org/,Pueblo Rockhounds,Colorado
134,Denver,http://www.westernpaleo.org/,Western Interior Paleontological Society,Colorado
135,Bristol,http://bristolgem.org/,Bristol Gem & Mineral Club,Connecticut
136,Danbury,http://danburymineralogicalsociety.weebly.com/,Danbury Mineralogical Society,Connecticut
137,Meriden,http://www.lmscc.org/,Lapidary and Mineral Society of Central Connecticut,Connecticut
138,New Haven,http://www.newhavenmineralclub.org/,New Haven Mineral Club,Connecticut
139,Stamford,http://www.stamfordmineralsociety.org/,Stamford Mineralogical Society,Connecticut
140,Wilmington,http://www.delminsociety.net/,"Delaware Mineralogical Society, Inc.",Delaware
141,Melbourne,http://www.canaveral-mgs.com/,Canaveral Mineral & Gem Society,Florida
142,Merritt Island,http://www.centralbrevardgems.org/,Central Brevard Rock and Gem Club,Florida
143,Winter Park,http://www.cfmgs.org/,Central Florida Mineral and Gem Society,Florida
144,Orlando,http://floridafossilhunters.com/,Florida Fossil Hunters,Florida
145,Hollywood,http://fgcgms.com/main/,Florida Gold Coast Gem & Mineral Society,Florida
146,Ft. Myers,http://www.fcolc.com/,Fossil Club of Lee County,Florida
147,Gainesville,http://gainesvillegms.weebly.com/,Gainesville Gem & Mineral Society,Florida
148,West Palm Beach,http://www.gemandmineralsociety.org/,Gem and Mineral Society of the Palm Beaches,Florida
149,Lakeland,http://www.bonevalley.net/,"Imperial Bone Valley Gem, Mineral, & Fossil Society",Florida
150,Jacksonville,http://www.jaxgemandmineral.org/,"Jacksonville Gem and Mineral Society, Inc.",Florida
151,Miami,http://www.mmlg-inc.org/,"Miami Mineralogical and Lapidary Guild, Inc.",Florida
152,Ft. Walton Beach,http://playgroundgem.org/,Playground Gem and Mineral Society,Florida
153,Punta Gorda,http://www.southwestfloridafossilsociety.org/,Southwest Florida Fossil Society,Florida
154,Port St Lucie,http://www.slcrockandgem.org/,St Lucie County Rock and Gem Club,Florida
155,St Petersburg,http://sgams.com/,Suncoast Gem and Mineral Society,Florida
156,Palm Harbor,http://www.tampabayfossilclub.com/,Tampa Bay Fossil Club,Florida
157,Tampa,http://www.tampabayrockclub.com/,"Tampa Bay Mineral & Science Club, Inc.",Florida
158,The Villages,http://www.thevillagesgemandmineralsociety.com/,The Villages Gem and Mineral Society,Florida
159,Palm Coast,http://www.tomokafacetersguild.org/index.html,Tomoka Faceters Guild,Florida
160,Spring Hill,http://www.withlacoocheerockhounds.com/,Withlacoochee Rockhounds,Florida
161,Athens,http://www.athensrockandgemclub.org/,Athens Rock and Gem Club,Georgia
162,Augusta,http://agams.club/,Augusta Gem & Mineral Society,Georgia
163,Marietta,https://www.ccgms.org/,Cobb County Gem and Mineral Society,Georgia
164,Norcross,http://www.gamineral.org/,"Georgia Mineral Society, Inc.",Georgia
165,Macon,http://midgagmsorg.ipage.com/,Mid-Georgia Gem and Mineral Society,Georgia
166,Rome,https://rogams.wordpress.com/,Rome Georgia Mineral Society Inc.,Georgia
167,Honolulu,http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html,"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",Hawaii
168,Lewiston,http://www.hellscanyongemclub.com/,"Hells Canyon Gem Club, Inc.",Idaho
169,Idaho Falls,http://ifgemmineral.weebly.com/,Idaho Falls Gem & Mineral Society,Idaho
170,Boise,http://www.idahogemclub.com/,"Idaho Gem Club, Inc.",Idaho
171,Twin Falls,http://magicvalleygemclub.org/,Magic Valley Gem Club,Idaho
172,Coeur d'Alene,http://www.northidahomineralclub.com/,North Idaho Mineral Club,Idaho
173,Caldwell,http://www.owyheerocks.com/,Owyhee Gem & Mineral Society,Idaho
174,Oldtown,https://pendoreillerockandgemclub.wordpress.com/,Pend Oreille Rock and Gem Club,Idaho
175,Boise,https://www.facebook.com/SEIGMS,Southeast Idaho Gem and Mineral Society,Idaho
176,Rock Island,http://www.blackhawkgemandmineralclub.com/,Black Hawk Gem & Mineral Club,Illinois
177,Decatur,http://rmkapta.wixsite.com/cigmc,Central Illinois Gem & Mineral Club,Illinois
178,Skokie,http://www.chicagorocks.org/,Chicago Rocks & Minerals Society,Illinois
179,Elgin,http://elginrockclub.org/,Elgin Rock Club,Illinois
180,Macomb,http://www.geodeland.com/,"Geodeland Earth Science Clubs, Inc.",Illinois
181,Springfield,http://www.loess.org/,Lincoln Orbit Earth Science Society,Illinois
182,Chicago,http://www.mhrsusa.com/,Midwest Historical Research Society,Illinois
183,Freeport,http://nwilrockclubfrpt.blogspot.com/,Northwest Illinois Rock Club,Illinois
184,Peoria,http://www.pasgeology.com/,Peoria Academy of Science Geology Section,Illinois
185,Benton,http://www.siesclub.org/,Southern Illinois Earth Science Club,Illinois
186,Macomb,http://www.rockchatter.com/,West Central Illinois Rock & Mineral Club,Illinois
187,Elmhurst,http://www.westsuburbanlapidaryclub.com/,West Suburban Lapidary Club,Illinois
188,Indianapolis,http://www.500earthsciencesclub.org/,500 Earth Sciences Club,Indiana
189,Nashville,http://browncountyrock.webs.com/,Brown County Rock and Mineral Club,Indiana
190,Crown Point,https://www.facebook.com/calumetrockclub,Calumet Gem & Mineral Society,Indiana
191,Evansville,http://evansvillelapidarysociety.tumblr.com/,Evansville Lapidary Society,Indiana
192,Richmond,http://eiggs.weebly.com/,"Eastern Indiana Gem & Geological Society, Inc.",Indiana
193,Bedford,http://www.lawrencecountyrockclub.org/,"Lawrence County Rock Club, Inc",Indiana
194,South Bend,http://www.michianagms.org/,"Michiana Gem & Mineral Society, Inc.",Indiana
195,Fort Wayne,http://3riversgem_mineral.tripod.com/,Three Rivers Gem & Mineral Society,Indiana
196,Cedar Rapids,http://www.cedarvalleyrockclub.org/,Cedar Valley Rocks and Minerals Society,Iowa
197,Des Moines,http://dmlapidary.org/,Des Moines Lapidary Society,Iowa
198,Mount Vernon,http://orgs.cornellcollege.edu/geo_club/,Geology Club @ Cornell College,Iowa
199,Ames,https://www.facebook.com/ISUGEOCLUB/,Iowa State University Geology Club,Iowa
200,Fort Dodge,http://amfed.org/mwf/states/Iowa/RiverValley.html,River Valley Rockhounds,Iowa
201,Fairfield,http://members.iowatelecom.net/billrath/rock_club.html,The Sac & Fox Lapidary Club,Iowa
202,Kansas City,http://olathegemclub.com/,Olathe Gem and Mineral Society,Kansas
203,Topeka,http://www.topekagms.org/,Topeka Gem & Mineral Society,Kansas
204,Wichita,http://www.wgmsks.org/,Wichita Gem and Mineral Society,Kansas
205,Wichita,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html,Wichita Paleontological Society,Kansas
206,Lexington,http://bggamc.homestead.com/,Blue Grass Gem & Mineral Club of Central Kentucky,Kentucky
207,Louisville,http://www.kyanageo.org/,KYANA Geological Society,Kentucky
208,Lexington,http://www.uky.edu/OtherOrgs/KPS/,Kentucky Paleontological Society,Kentucky
209,Shreveport,http://larockclub.com/,Ark-La-Tex Gem & Mineral Society,Louisiana
210,Baton Rouge,http://www.brgemandmineral.org/,Baton Rouge Gem & Mineral Society,Louisiana
211,Leesville,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/,DeRidder Gem & Mineral Society,Louisiana
212,Winthrop,http://kennebec-rocksandminerals.com/,Kennebec Rocks and Minerals Club,Maine
213,Portland,http://mainemineralclub.org/,Maine Mineralogical & Geological Society,Maine
214,South Paris,http://ocmgassoc.blogspot.com/,Oxford County Mineral and Gem Association,Maine
215,Milford,http://penobscotminerallapidaryclub.com/index.html,Penobscot Mineral and Lapidary Club,Maine
216,Bowie,http://americanfossilfederation.org/Home.html,American Fossil Federation,Maryland
217,Baltimore,http://www.baltimoremineralsociety.org/,Baltimore Mineral Society,Maryland
218,Solomons,http://www.calvertmarinemuseum.com/209/Fossil-Club,Calvert Marine Museum Fossil Club,Maryland
219,Elkridge,https://www.meetup.com/rockhounds/,Central Maryland Rock and Mineral Collectors Exchange,Maryland
220,Baltimore,http://www.chesapeakegemandmineral.org/,Chesapeake Gem & Mineral Society,Maryland
221,Baltimore,http://www.gemcuttersguild.com/,"Gem Cutters Guild of Baltimore, Inc.",Maryland
222,Rockville,http://www.glmsmc.com/,"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",Maryland
223,Bowie,http://www.ecphora.net/mgs/,Maryland Geological Society,Maryland
224,"Washington, DC",http://dcmicrominerals.org/,Micromineralogists of the National Capital Area,Maryland
225,Annapolis,http://www.patuxentlapidary.org/,Patuxent Lapidary Guild,Maryland
226,Clinton,http://www.smrmc.org/,Southern Maryland Rock and Mineral Club,Maryland
227,"Washington, DC",http://www.mineralogicalsocietyofdc.org/,The Mineralogical Society of the District of Columbia,Maryland
228,Boston,http://www.bostonmineralclub.org/,"Boston Mineral Club, Inc.",Massachusetts
229,Springfield,http://www.cvmineralclub.org/,Connecticut Valley Mineral Club,Massachusetts
230,Chemlsford,http://micromountersofnewengland.org/,Micromounters of New England,Massachusetts
231,Westford,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society,Nashoba Valley Mineralogical Society,Massachusetts
232,South Hamilton,http://www.northshorerock.org/,North Shore Rock & Mineral Club of Massachusetts,Massachusetts
233,North Adams,http://nbmclub.webs.com/,Northern Berkshire Mineral Club,Massachusetts
234,Bridgewater,http://semmc.com/,Southeastern Massachusetts Mineral Club,Massachusetts
235,Worcester,http://worcestermineralclub.org/,Worcester Mineral Club,Massachusetts
236,Big Rapids,https://sites.google.com/site/bigrapidsrockgemmineralclub/,"Big Rapids Rock, Gem & Mineral Club",Michigan
237,Lansing,http://michrocks.org/,Central Michigan Lapidary and Mineral Society,Michigan
238,Dollar Bay,http://www.ccrmc.info/,Copper Country Rock and Mineral Club,Michigan
239,Flint,http://www.flintrockandgem.org/,Flint Rock and Gem Club,Michigan
