,City,URL,club_name,State
240,Traverse City,http://tcrockhounds.com/,Grand Traverse Area Rock and Mineral Club,Michigan
241,Wyoming,http://www.indianmoundsrockclub.com/,Indian Mounds Rock & Mineral Club,Michigan
242,Ishpeming,http://www.ishpemingrocks.org/,Ishpeming Rock and Mineral Club,Michigan
243,Kalamazoo,http://kalamazoorockclub.org/,Kalamazoo Geological & Mineral Society,Michigan
244,Howell,http://www.livingstongemandmineralsociety.com/,Livingston Gem & Mineral Society,Michigan
245,Michigan Center,http://mgmsrockclub.com/,Michigan Gem & Mineral Society,Michigan
246,Bloomfield Hills,https://www.michmin.org/,Michigan Mineralogical Society,Michigan
247,Midland,http://www.midmichrockclub.com/?Page=1,Mid-Michigan Rock Club,Michigan
248,Grand Rapids,http://www.midwestfaceters.org/,Midwest Faceters' Guild,Michigan
249,Taylor,http://www.mmls.us/,Midwest Mineralological & Lapidary Society,Michigan
250,Roscommon,http://mikenaukclub.weebly.com/,Mikenauk Rock and Gem Club,Michigan
251,Mt. Clemens,http://mcgls.org/,Mount Clemens Gem & Lapidary Society,Michigan
252,Waterford,http://www.ocesc.com/,Oakland County Earth Science Club,Michigan
253,Livonia,https://roaminrockclub.weebly.com/,Roamin Club,Michigan
254,Morenci,http://statelinegms.com/,StateLine Gem & Mineral Society,Michigan
255,Holland,http://www.tulipcity.org/,"Tulip City Gem & Mineral Club, Inc.",Michigan
256,Minneapolis,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html,Anoka County Gem & Mineral Club,Minnesota
257,Brainerd,http://cuyunarockclub.org/wp/,"Cuyuna Rock, Gem and Mineral Society",Minnesota
258,Falcon Heights,http://minnesotamineralclub.org/,Minnesota Mineral Club,Minnesota
259,Mankato,http://www.mnvalleygemandmineralclub.com/,Minnesota Valley Gem & Mineral Club,Minnesota
260,Stillwater,http://stcroixrockhounds.org/,St Croix Rockhounds,Minnesota
261,Gulfport,http://www.gulfportgems.org/,"Harrison County Gem & Mineral Society, Inc.",Mississippi
262,Jackson,http://missgems.org/,Mississippi Gem & Mineral Society,Mississippi
263,Jackson,http://www.missgeo.com/,Mississippi Geological Society,Mississippi
264,Ocean Springs,http://www.mgcgms.org/,Mississippi Gulf Coast Gem and Mineral Society,Mississippi
265,Tupelo,http://www.nmgms.org/,North Mississippi Gem and Mineral Society,Mississippi
266,Columbia,http://www.cmrlc.org/,Central Missouri Rock and Lapidary Club,Missouri
267,Independence,http://www.igams.co/,Independence Gem & Mineral Society,Missouri
268,St. Joseph,http://www.movalleyrockclub.com/,Missouri Valley Gem & Mineral Society,Missouri
269,Lincoln,http://www.mozarkite.com/,"Mozarkite Society of Lincoln, Inc.",Missouri
270,Springfield,https://www.facebook.com/omgms.57,Ozark Mountain Gem & Mineral Society,Missouri
271,St. Louis,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx,Rock Hobby Club of Greater Saint Louis,Missouri
272,St. Louis,http://rockwood.stlearthsci.org/,Rockwood Gem & Mineral Society,Missouri
273,St. Louis,http://www.stlrockclub.com/,St. Louis Mineral & Gem Society,Missouri
274,St. Peters,http://showme.stlearthsci.org/,"Show Me Gems & Minerals Club, Inc.",Missouri
275,Kansas City,https://showmerockhounds.com/,Show-Me Rockhounds Kansas City,Missouri
276,Billings,http://www.billingsgemclub.com/,"Billings Gem & Mineral Club, Inc.",Montana
277,Corvallis,http://www.ravalligemandmineralclub.org/,Bitterroot Gem & Mineral Society,Montana
278,Bozeman,http://bozemangemandmineralclub.com/,Bozeman Gem and Mineral Club,Montana
279,Missoula,https://www.facebook.com/HellgateMineralSociety/,Hellgate Mineral Society,Montana
280,Kalispell,http://www.kalispellrockhounds.org/,Kalispell Rockhound Club,Montana
281,Lincoln,https://www.lincolngemmineralclub.org/,"Lincoln Gem & Mineral Club, Inc.",Nebraska
282,Reno,http://cgpgold.org/,Comstock Gold Prospectors,Nevada
283,Carson City,http://greatbasingemandmineralclub.rocks/,Great Basin Gem & Mineral Club,Nevada
284,Carson City,https://highdesertrockers.wordpress.com/,High Desert Rockers,Nevada
285,Pahrump,http://nyegoldseekers.webs.com/,Nye Gold Seekers,Nevada
286,Reno,http://www.renorockhounds.com/,Reno Gem and Mineral Society,Nevada
287,Las Vegas,http://www.snvgms.org/,Southern Nevada Gem and Mineral Society,Nevada
288,Concord,http://www.capitalmineralclub.org/,Capital Mineral Club,New Hampshire
289,Keene,https://sites.google.com/site/keenemineralclub/home,Keene Mineral Club,New Hampshire
290,Conway,http://www.sacovalleygemandmineralclub.org/,Saco Valley Gem and Mineral Club,New Hampshire
291,Dover,https://www.senhmc.org/,Southeastern New Hampshire Mineral Club,New Hampshire
292,Cologne,http://www.capeatlanticrockhounds.com/,Cape Atlantic Rockhounds Inc.,New Jersey
293,Woodbury,http://www.dvess.org/,Delaware Valley Earth Science Society,New Jersey
294,Marlboro Township,https://fomnj.wordpress.com/,Friends of Mineralogy - New Jersey Chapter,New Jersey
295,Morristown,http://morrismuseum.org/mineral-society/,Morris Museum Mineralogical Society,New Jersey
296,Mountainside,http://www.njmin.org/,"New Jersey Mineralogical Society, Inc",New Jersey
297,Paterson,http://www.nojms.webs.com/,"North Jersey Mineralogical Society, Inc.",New Jersey
298,Albuquerque,http://www.agmc.info/,Albuquerque Gem & Mineral Club,New Mexico
299,Carlsbad,http://www.carlsbadgms.org/,Carlsbad Gem and Mineral Society,New Mexico
300,Deming,http://www.thedgms.com/,Deming Gem & Mineral Society,New Mexico
301,Silver City,http://rollingstonesgms.blogspot.com/,"Grant County Rolling Stones Gem & Mineral Society, Inc.",New Mexico
302,Los Alamos,http://pweb.netcom.com/~hoffmans/LAGS.html,Los Alamos Geological Society,New Mexico
303,Buffalo,http://www.bgsny.org/,"Buffalo Geological Society, Inc.",New York
304,Albany,http://capitaldistrictmineralclub.com/,Capital District Mineral Club,New York
305,Syracuse,http://www.gmss.us/,"Gem and Mineral Society of Syracuse, Inc.",New York
306,Bellmore,http://www.islandrockhounds.org/,Island Rockhounds Inc.,New York
307,Jamesport,http://www.limineralandgeology.com/LiMags/Home.html,Long Island Mineral & Geology Society,New York
308,Poughkeepsie,http://mhvgms.org/index.html,Mid-Hudson Valley Gem and Mineral Society Inc.,New York
309,Glen Cove,http://nassaumineralclub.org/,Nassau Mineral Club,New York
310,NYC,http://www.newyorkmineralogicalclub.org/,New York Mineralogical Club,New York
311,NYC,http://www.nyps.org/index.htm,New York Paleontological Society,New York
312,Middletown,http://www.orangecountymineralsocietynewyork.com/,Orange County Mineral Society,New York
313,Rochester,http://www.rasny.org/,Rochester Academy of Science,New York
314,Rochester,http://www.rochesterlapidary.org/,Rochester Lapiday Society,New York
315,Canton,http://stlawrencecountymineralclub.org/,St. Lawrence County Rock & Mineral Club,New York
316,Bay Shore,http://www.suffolkgem.com/,Suffolk Gem & Mineral Club,New York
317,Newark,http://www.wcgmc.org/,Wayne County Gem and Mineral Club,New York
318,Fayetteville,http://www.mercergarden.com/GemClub.html,Cape Fear Mineral & Gem Society,North Carolina
319,Hickory,http://www.cvgmc.com/,Catawba Valley Gem & Mineral Club,North Carolina
320,Chapel Hill,http://www.centralncmineralclub.org/,Central North Carolina Mineral Club,North Carolina
321,Charlotte,http://www.charlottegem.com/,Charlotte Gem & Mineral Club,North Carolina
322,Winston-Salem,http://www.forsythgemclub.com/fgmcmain.html,Forsyth Gem and Mineral Club,North Carolina
323,Gastonia,http://gastongemclub.weebly.com/,"Gaston Gem, Mineral and Faceters Club",North Carolina
324,Franklin,http://www.fgmm.org/,Gem & Mineral Society of Franklin,North Carolina
325,Greensboro,http://www.ggmc-rockhounds.com/,Greensboro Gem & Mineral Club,North Carolina
326,Hendersonville,http://hcgms.com/index.html,Henderson County Gem and Mineral Society,North Carolina
327,Asheville,http://www.wncrocks.com/magma/magma.html,Mountain Area Gem and Mineral Association (MAGMA),North Carolina
328,Raleigh,http://www.ncfossilclub.org/,North Carolina Fossil Club,North Carolina
329,Asheville,http://www.main.nc.us/sams/,Southern Appalachian Mineral Society,North Carolina
330,Raleigh,http://www.tarheelclub.org/,Tar Heel Gem & Mineral Club,North Carolina
331,Bismarck,https://ndrockclub.org/,Central Dakota Gem & Mineral Society,North Dakota
332,Troy,http://www.bruknergemandmineralclub.com/,Brukner Gem and Mineral Club,Ohio
333,Cincinnati,http://mineralsociety.org/,Cincinnati Mineral Society,Ohio
334,Columbus,http://www.columbusrockandmineralsociety.org/,Columbus Rock and Mineral Society,Ohio
335,Kettering,https://www.facebook.com/The-Dayton-Gem-Mineral-Society-140478502678195/,Dayton Gem & Mineral Society,Ohio
336,Cincinnati,http://drydredgers.org/,Dry Dredgers,Ohio
337,Loveland,http://cincinnatilapidary.weebly.com/,Greater Cincinati Lapidary and Faceting Society,Ohio
338,Cleveland,http://ncfclub.org/,North Coast Fossil Club,Ohio
339,Worthington,https://ohiogeosoc.org/,Ohio Geological Society,Ohio
340,Cleveland,http://www.parmalapidary.com/,Parma Lapidary Club,Ohio
341,Mansfield,http://rlls.webs.com/,Richland Lithic & Lapidary Society,Ohio
342,Cuyahoga Falls,http://lapidaryclubofohio.org/,Summit Lapidary Club,Ohio
343,Toledo,http://rockyreader.com/,Toledo Gem & Rockhound Club,Ohio
344,Ada,http://www.freewebs.com/agmfc/,"Ada Gem, Mineral and Fossil Club",Oklahoma
345,Enid,http://www.enidgemandmineral.org/,Enid Gem & Mineral Society,Oklahoma
346,Oklahoma City,http://omgs-minerals.org/,Oklahoma Mineral and Gem Society,Oklahoma
347,Shawnee,https://www.facebook.com/Shawnee-Gem-and-Mineral-Society-524175917629452/,Shawnee Gem and Mineral Society,Oklahoma
348,Tulsa,http://www.ttownrockhound.org/,Tulsa Rock and Mineral Society,Oklahoma
349,Tahlequah,http://tramsok.webs.com/,Tahlequah Rock and Mineral Society,Oklahoma
350,Redmond,https://corockcollectors.com/,Central Oregon Rock Collectors,Oregon
351,Oregon City,http://www.clackamettegem.org/,Clackamette Mineral and Gem Club,Oregon
352,Portland/West Linn,http://facetersguild.com/,Columbia-Willamette Faceters' Guild,Oregon
353,North Bend,http://www.farwestlapidary.org/,FarWest Lapidary & Gem Society,Oregon
354,Hermiston,http://jall23.wixsite.com/hatrockhounds,Hatrockhounds Gem and Mineral Society,Oregon
355,Portland,http://www.millenniumdiggers.com/,Millennium Diggers Club,Oregon
356,Gresham,https://mthoodrockclub.wordpress.com/,Mt Hood Rock Club,Oregon
357,Hillsboro,http://narg-online.com/,North American Research Group,Oregon
358,Portland,http://www.oregonagate.org/,"Oregon Agate & Mineral Society, Inc.",Oregon
359,Newport,http://www.coastagates.org/,Oregon Coast Agate Club,Oregon
360,Prineville,http://prineville.rocks/,Prineville Rockhound Pow-Wow Assoc.,Oregon
361,Klamath Falls,http://www.klamathrockclub.org/,Rock and Arrowhead Club of Klamath Falls,Oregon
362,Springfield,http://thundereggrockclub.blogspot.com/,Springfield Thunderegg Rock Club,Oregon
363,Forest Grove,https://tvrgc.org/,Tualatin Valley Gem Club,Oregon
364,Salem,http://www.wamsi.net/,"Willamette Agate and Mineral Society, Inc.",Oregon
365,Harrisburg,http://www.rockandmineral.org/,"Central Pennsylvania Rock and Mineral Club, Inc.",Pennsylvania
366,Sayre,http://www.chehannarocks.com/,"Che-Hanna Rock and Mineral Club, Inc.",Pennsylvania
367,Philadelphia,https://sites.google.com/site/dvpspaleo/,Delaware Valley Paleontological Society,Pennsylvania
368,St. Peters,http://www.rasloto.com/FM/,Friends of Mineralogy - Pennsylvania Chapter,Pennsylvania
369,Erie,http://www.gemcityrockclub.org/,Gem City Rock and Mineral Society,Pennsylvania
370,Fairless Hills,http://leidymicroscopical.com/,Leidy Microscopical Society,Pennsylvania
371,Hanover,http://topgemz.com/,"Mason-Dixon Rock, Mineral, Gemological, & Lapidary Club",Pennsylvania
372,Moosic,http://msnepa.org/,Mineralogical Society of Northeastern Pennsylvania,Pennsylvania
373,Pittsburgh,http://www.monongahelarockhounds.org/,Monongahela Rockhounds,Pennsylvania
374,Stroudsburg,http://www.mdsysconsulting.com/MCESA/,Monroe County Earth Science Association,Pennsylvania
375,Mars,http://www.morainerockbusters.org/,Moraine Rockbusters,Pennsylvania
376,State College,http://www.nittanymineral.org/,Nittany Mineralogical Society,Pennsylvania
377,Whitehall,http://www.mineralfest.com/,Pennsylvania Earth Sciences Association,Pennsylvania
378,Philadelphia,http://www.phillyrocks.org/,Philadelphia Mineralogical Society,Pennsylvania
379,Pittsburgh,http://www.pittsburghgeologicalsociety.org/index.html,Pittsburgh Geological Society,Pennsylvania
380,Brookhaven,http://www.lapidary.org/,Tuscarora Lapidary Society,Pennsylvania
381,Warwick,http://rimh.us/,"Rhode Island Mineral Hunters, Inc.",Rhode Island
382,Aiken,http://www.aikengmfs.org/,Aiken Gem and Mineral Society,South Carolina
383,Columbia,http://www.cgams.org/,Columbia Gem & Mineral Society,South Carolina
384,North Charleston,http://lowcountrygemandmineralsociety.org/,Lowcountry Gem and Mineral Society,South Carolina
385,Central,http://www.woodsmere.com/pdgms/,Pendleton District Gem and Mineral Society,South Carolina
386,Greenville,http://www.wescagem.org/,Western South Carolina Gem and Mineral Society,South Carolina
387,Sioux Falls,http://www.segams.org/,Sioux Empire Gem and Mineral Society,South Dakota
388,Rapid City,http://www.wdgms.org/,Western Dakota Gem & Mineral Society,South Dakota
389,Knoxville,http://www.knoxrocks.org/,Knoxville Gem & Mineral Society,Tennessee
390,Memphis,http://www.memphisgeology.org/,Memphis Archaeological & Geological Society,Tennessee
391,Nashville,http://www.rockhound.org/,Middle Tennessee Rockhounds,Tennessee
392,"Murfreesboro, Donelson, Tullahoma",http://www.mtgms.org/,Mid-Tennessee Gem and Mineral Society,Tennessee
393,Arlington,http://www.agemclub.org/,Arlington Gem and Mineral Club,Texas
394,Austin,http://www.austingemandmineral.org/index.html,Austin Gem and Mineral Society,Texas
395,Abilene,http://rockclub.txol.net/,Central Texas Gem & Mineral Society,Texas
396,Alpine,http://www.cdgmc.org/,Chihuahuan Desert Gem and Mineral Club,Texas
397,Houston,http://www.clgms.org/,Clear Lake Gem and Mineral Society,Texas
398,Fort Worth,http://cera-fw.org/gem-mineral-glass/,"Cowtown Gem, Mineral & Glass Society",Texas
399,Dallas,http://www.dallasgemandmineral.org/,Dallas Gem and Mineral Society,Texas
400,Dallas,https://dps.wildapricot.org/,Dallas Paleontological Society,Texas
401,Tyler,http://www.etgms.com/,East Texas Gem and Mineral Society,Texas
402,El Paso,http://www.epmgs.com/,"El Paso Mineral and Gem Society, Inc.",Texas
403,Fort Worth,http://www.fortworthgemandmineralclub.org/,Fort Worth Gem and Mineral Club,Texas
404,Fredericksburg,http://fredericksburgrockhounds.org/,Fredericksburg Rockhounds,Texas
405,San Antonio,http://www.geosa.org/,Geological Society of San Antonio,Texas
406,Amarillo,http://www.amarillotreasure.com/,"Golden Spread Gem, Mineral and Treasure Society",Texas
407,Corpus Christi,http://www.gcgms.org/,Gulf Coast Gem & Mineral Society,Texas
408,Houston,http://www.hgms.org/,Houston Gem and Mineral Society,Texas
409,Lubbock,http://www.lubbockgemandmineral.org/,Lubbock Gem and Mineral Society,Texas
410,Midland,https://www.facebook.com/midlandgemandmineral/,"Midland Gem and Mineral Society, Inc.",Texas
411,Dallas,http://www.ocgemandmineral.com/,Oak Cliff Gem and Mineral Society,Texas
412,Austin,http://www.austinpaleo.org/,Paleontological Society of Austin,Texas
413,Jasper,http://www.pinecountry-gms.org/,Pine Country Gem & Mineral Society,Texas
414,Huntsville,http://www.pwgms.org/,Piney Woods Gem & Mineral Society,Texas
415,Dallas,http://www.pogmc.org/,Pleasant Oaks Gem & Mineral Club,Texas
416,Rollin' Rock Club Of Texas And Any Other State Or Country Of The World and Outer Space,https://sites.google.com/site/rollinrockclub/,"Rollin' Rock Club, Inc.",Texas
417,San Antonio,http://www.stgs.org/,South Texas Geological Society,Texas
418,San Antonio,http://www.swgemandmineral.org/,Southwest Gem and Mineral Society,Texas
419,Houston,http://texasfacetersguild.org/,Texas Faceters Guild,Texas
420,Temple,https://www.facebook.com/midlandgemandmineral/,"Tri-City Gem and Mineral Society, Inc.",Texas
421,Waco,http://www.wacogemandmineral.org/,Waco Gem and Mineral Club,Texas
422,Georgetown,http://www.wcgms.org/,Williamson County Gem and Mineral Society,Texas
423,Decatur,http://wisecofossilrockandmineralsoc.weebly.com/,"Wise County Fossil, Rock and Mineral Society",Texas
424,Ogden,http://www.beehiverockandgem.com/,Beehive Rock and Gem Club,Utah
425,Smithfield,http://cacherockgemclub.weebly.com/,Cache Rock and Gem Club,Utah
426,Ogden,http://goldenspikegem.org/,Golden Spike Gem & Mineral Society,Utah
427,Salt Lake City,http://m-c-u.org/,Mineral Collectors of Utah,Utah
428,Moab,https://www.facebook.com/Moab-Rock-Club-1508131859497762/,Moab Rock Club,Utah
429,Sandy,http://www.rockhoundersock.com/,Rockhounders Outreach for Community Knowledge,Utah
430,Provo,http://timprocks.weebly.com/,Timpanogos Gem & Mineral Society,Utah
431,Tooele,https://www.facebook.com/Tooele-Gem-Mineral-Society-1742342656045404/,Tooele Gem & Mineral Society,Utah
432,Salt Lake City,http://www.wasatchgemsociety.com/,Wasatch Gem Society,Utah
433,Burlington,http://www.burlingtongemandmineralclub.org/,Burlington Gem and Mineral Club,Vermont
434,Rutland,http://www.rutlandrockmineralclub.50webs.com/,Rutland Rock & Mineral Club,Vermont
435,Manassas,http://www.gmhonline.org/,"Gem and Mineral Hunters, Inc.",Virginia
436,Lynchburg,http://www.lynchburgrockclub.org/,Gem and Mineral Society of Lynchburg,Virginia
437,Hampton,http://www.gmsvp.org/,Gem and Mineral Society of the Virginia Peninsula,Virginia
438,Arlington,http://www.novamineralclub.org/,"Northern Virginia Mineral Club, Inc.",Virginia
439,Richmond,http://www.rgms-va.info/,Richmond Gem & Mineral Society,Virginia
440,Roanoke,https://www.facebook.com/RVMGS/,Roanoke Valley Mineral & Gem Society,Virginia
441,Waynesboro,http://www.shenandoahvalleyrockclub.org/,Shenandoah Valley Gem & Mineral Society,Virginia
442,Virginia Beach,http://tgms.weebly.com/,Tidewater Gem & Mineral Society,Virginia
443,Bellevue,http://www.bellevuerockclub.org/,"Bellevue Rock Club, Inc.",Washington
444,Kent,http://www.cascademineralogicalsociety.org/,Cascade Mineralogical Society Inc,Washington
445,Port Angeles,http://www.olympicrocks.com/,Clallam County Gem & Mineral Association,Washington
446,Darrington,https://www.facebook.com/DarringtonRGC/,Darrington Rock & Gem Club,Washington
447,Kirkland,http://www.eastkingco.org/,East KingCo Rock Club,Washington
448,Everett,http://www.everettrockclub.com/,Everett Rock & Gem Club,Washington
449,Wenatchee,http://wenatcheerockclub.org/,Ginkgo Mineral Society,Washington
450,Bremerton,http://www.kmgs.org/,Kitsap Mineral and Gem Societ,Washington
451,Kennewick,http://www.lakesidegemandmineralclub.com/,"Lakeside Gem & Mineral Club, Inc.",Washington
452,Edmonds,http://www.maplewoodrockclub.com/,Maplewood Rock & Gem Community Club,Washington
453,Walla Walla,https://www.sites.google.com/site/mwgemandmineral/,Marcus Whitman Gem and Mineral Society,Washington
454,Marysville,https://sites.google.com/site/marysvillerockngemclub/,"Marysville Rock & Gem Club, Inc.",Washington
455,Bellingham,http://mtbakerrockclub.org/,Mount Baker Rock And Gem Club,Washington
456,Kent,http://www.namaminers.org/,North American Miners Association,Washington
457,Mount Vernon,http://www.facetguild.com/,North Puget Sound Facetors Guild,Washington
458,Puget Sound,http://nwpaleo.org/,Northwest Paleontological Association,Washington
459,Arden,http://panoramagem.com/,Panorama Gem & Mineral Club,Washington
460,Puyallup,https://www.facebook.com/PuyallupValleyGemClub,Puyallup Valley Gem & Mineral Club,Washington
461,Mt. Vernon,https://www.skagitrockandgem.com/,Skagit Rock and Gem Club,Washington
462,Spokane Valley,http://www.rockrollers.org/WP/,Spokane Rock Rollers Club,Washington
463,Seattle,http://www.northseattlerockclub.org,North Seattle Lapidary & Mineral Club,Washington
464,Olympia,https://wamsolympia.wordpress.com,Washington Agate and Mineral Society,Washington
465,Seattle,http://www.westseattlerockclub.org/,West Seattle Rock Club,Washington
466,Yakima,http://www.yakimarockclub.com/,Yakima Rock & Mineral Club,Washington
467,Charleston,http://www.kanawharockandgemclub.org/,Kanawha Rock and Gem Club,West Virginia
468,Morgantown,http://prehistoricplanet.com/wv/,Prehistoric West Virginia,West Virginia
469,Clarksburg,http://www.westvirginiafossilclub.com/,West Virginia Fossil Club Inc,West Virginia
470,Monroe,http://www.badgerrockclub.org/,"Badger Lapidary & Geological Society, Inc.",Wisconsin
471,La Crosse,https://www.facebook.com/pages/The-Coulee-Rock-Club/182345351787782,Coulee Rock Club of La Crosse,Wisconsin
472,Marshfield & Stevens Point,https://www.heartofwisconsinrocks.com/,Heart of Wisconsin Gem & Mineral Society,Wisconsin
473,Pewaukee,http://www.kmgsrocks.com/,Kettle Moraine Geological Society,Wisconsin
474,Minocqua,http://www.lakelandgemclub.com/,Lakeland Gem Club,Wisconsin
475,Madison,http://www.madisonrockclub.org/,Madison Gem and Mineral Club,Wisconsin
476,Cameron,http://www.cameronamericanlegion.org/rockclub.html,Northwest Wisconsin Gem & Mineral Society,Wisconsin
477,Oshkosh,https://sites.google.com/site/oshkoshearthscienceclub/home,Oshkosh Earth Science Club,Wisconsin
478,Racine,http://rgs-wi.tripod.com/,"Racine Geological Society, Inc",Wisconsin
479,Menasha,http://www.weismuseum.org/geology-club.html,Weis'n'Miners Geology Club,Wisconsin
480,West Allis,http://www.wisgeologicalsociety.com/,Wisconsin Geological Society,Wisconsin
481,Cody,http://www.cody59ers.com/,Cody 59ers Rock Club,Wyoming
482,Riverton,http://www.rivertonmgs.com/,Riverton Mineral and Gem Society,Wyoming
483,Cody,http://wymineralandgemsociety.org,Wyoming State Mineral and Gem Society,Wyoming
